"module name","license","repository"
"@babel/code-frame@7.12.13","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.14.0","MIT","https://github.com/babel/babel"
"@babel/core@7.14.3","MIT","https://github.com/babel/babel"
"@babel/generator@7.14.3","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.13.16","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.14.2","MIT","https://github.com/babel/babel"
"@babel/helper-get-function-arity@7.12.13","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.13.12","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.13.12","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.14.2","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.12.13","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.13.0","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.14.3","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.13.12","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.12.13","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.14.0","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.12.17","MIT","https://github.com/babel/babel"
"@babel/helpers@7.14.0","MIT","https://github.com/babel/babel"
"@babel/highlight@7.14.0","MIT","https://github.com/babel/babel"
"@babel/parser@7.14.3","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-bigint@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-bigint"
"@babel/plugin-syntax-class-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding"
"@babel/plugin-syntax-optional-chaining@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining"
"@babel/plugin-syntax-top-level-await@7.12.13","MIT","https://github.com/babel/babel"
"@babel/template@7.12.13","MIT","https://github.com/babel/babel"
"@babel/traverse@7.14.2","MIT","https://github.com/babel/babel"
"@babel/types@7.14.2","MIT","https://github.com/babel/babel"
"@bcoe/v8-coverage@0.2.3","MIT","https://github.com/demurgos/v8-coverage"
"@cnakazawa/watch@1.0.4","Apache-2.0","https://github.com/mikeal/watch"
"@istanbuljs/load-nyc-config@1.1.0","ISC","https://github.com/istanbuljs/load-nyc-config"
"@istanbuljs/schema@0.1.3","MIT","https://github.com/istanbuljs/schema"
"@jest/console@26.6.2","MIT","https://github.com/facebook/jest"
"@jest/core@26.6.3","MIT","https://github.com/facebook/jest"
"@jest/environment@26.6.2","MIT","https://github.com/facebook/jest"
"@jest/fake-timers@26.6.2","MIT","https://github.com/facebook/jest"
"@jest/globals@26.6.2","MIT","https://github.com/facebook/jest"
"@jest/reporters@26.6.2","MIT","https://github.com/facebook/jest"
"@jest/source-map@26.6.2","MIT","https://github.com/facebook/jest"
"@jest/test-result@26.6.2","MIT","https://github.com/facebook/jest"
"@jest/test-sequencer@26.6.3","MIT","https://github.com/facebook/jest"
"@jest/transform@26.6.2","MIT","https://github.com/facebook/jest"
"@jest/types@26.6.2","MIT","https://github.com/facebook/jest"
"@sinonjs/commons@1.8.3","BSD-3-Clause","https://github.com/sinonjs/commons"
"@sinonjs/fake-timers@6.0.1","BSD-3-Clause","https://github.com/sinonjs/fake-timers"
"@tootallnate/once@1.1.2","MIT","https://github.com/TooTallNate/once"
"@types/babel__core@7.1.14","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__generator@7.6.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__template@7.4.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__traverse@7.11.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/graceful-fs@4.1.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-coverage@2.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-report@3.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-reports@3.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@15.6.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/normalize-package-data@2.4.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prettier@2.2.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/stack-utils@2.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs-parser@20.2.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs@15.0.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abab@2.0.5","BSD-3-Clause","https://github.com/jsdom/abab"
"accepts@1.3.7","MIT","https://github.com/jshttp/accepts"
"acorn-globals@6.0.0","MIT","https://github.com/ForbesLindesay/acorn-globals"
"acorn-walk@7.2.0","MIT","https://github.com/acornjs/acorn"
"acorn@7.4.1","MIT","https://github.com/acornjs/acorn"
"acorn@8.2.4","MIT","https://github.com/acornjs/acorn"
"agent-base@6.0.2","MIT","https://github.com/TooTallNate/node-agent-base"
"ansi-escapes@4.3.2","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-regex@5.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"anymatch@2.0.0","ISC","https://github.com/micromatch/anymatch"
"anymatch@3.1.2","ISC","https://github.com/micromatch/anymatch"
"argparse@1.0.10","MIT","https://github.com/nodeca/argparse"
"arr-diff@4.0.0","MIT","https://github.com/jonschlinkert/arr-diff"
"arr-flatten@1.1.0","MIT","https://github.com/jonschlinkert/arr-flatten"
"arr-union@3.1.0","MIT","https://github.com/jonschlinkert/arr-union"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"array-unique@0.3.2","MIT","https://github.com/jonschlinkert/array-unique"
"assign-symbols@1.0.0","MIT","https://github.com/jonschlinkert/assign-symbols"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"atob@2.1.2","(MIT OR Apache-2.0)","git://git.coolaj86.com/coolaj86/atob.js"
"babel-jest@26.6.3","MIT","https://github.com/facebook/jest"
"babel-plugin-istanbul@6.0.0","BSD-3-Clause","https://github.com/istanbuljs/babel-plugin-istanbul"
"babel-plugin-jest-hoist@26.6.2","MIT","https://github.com/facebook/jest"
"babel-preset-current-node-syntax@1.0.1","MIT","https://github.com/nicolo-ribaudo/babel-preset-current-node-syntax"
"babel-preset-jest@26.6.2","MIT","https://github.com/facebook/jest"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"base@0.11.2","MIT","https://github.com/node-base/base"
"body-parser@1.19.0","MIT","https://github.com/expressjs/body-parser"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"braces@2.3.2","MIT","https://github.com/micromatch/braces"
"braces@3.0.2","MIT","https://github.com/micromatch/braces"
"browser-process-hrtime@1.0.0","BSD-2-Clause","https://github.com/kumavis/browser-process-hrtime"
"browserslist@4.16.6","MIT","https://github.com/browserslist/browserslist"
"bser@2.1.1","Apache-2.0","https://github.com/facebook/watchman"
